,identifier,topology,d,dlo,dhi,dscore,dlazy,dout,gossipFactor,interval,n_nodes,consensus,propagationTime,messageOverhead,bandwidth,messageReceived,messageDuplicated,graft,prune,iwant,ihave
0,0,unl,8,6,12,4,8,2,0.25,1.0,24,3.02287183815237,2149.21602517093,1262081.5,1830.48955883577,1681977.0,242460.0,1537.0,125.0,17.0,109756.0
1,3,unl,8,6,12,4,8,2,0.25,3.0,24,3.02647139095481,2160.13310690792,1220458.0,1606.16963892348,1843504.0,164486.0,2137.0,0.0,1.0,4868.0
2,6,unl,16,8,20,16,8,4,0.5,1.0,24,3.02753659174196,2008.63669922268,991947.5,1299.75517972562,1428254.0,124371.0,2138.0,0.0,0.0,792.0
3,12,unl,16,8,20,16,8,4,0.5,0.5,24,3.07391724122137,6674.95366718852,388920.0,621.536311304406,762906.0,156136.0,1387.0,135.0,12.0,71454.0
4,13,unl,6,4,8,2,2,2,0.25,1.0,24,3.03880823502649,3089.49782450449,859426.5,1362.59634258518,1778309.0,351875.0,1469.0,308.0,46.0,141786.0
5,18,unl,6,4,8,2,2,4,0.25,0.5,24,3.01439465409247,2097.29722541242,391164.5,592.199165818511,870750.0,151214.0,2136.0,0.0,2.0,4869.0
6,21,unl,20,16,24,8,16,8,0.5,1.0,24,3.02990422244937,2013.59737939529,1063446.0,1429.53581400148,1998816.0,205431.0,2134.0,0.0,0.0,9774.0
7,23,unl,16,8,20,4,8,2,0.5,1.0,24,3.02101915986042,2353.42049635146,1347907.5,1784.60728051305,2013329.0,198723.0,1819.0,0.0,14.0,8629.0
8,27,unl,16,8,20,8,8,4,0.25,1.0,24,3.02570390200348,1903.03159749119,952511.0,1281.48537760314,1957411.0,217007.0,2138.0,0.0,1.0,9194.0
9,29,unl,16,8,20,4,8,2,0.25,1.0,24,3.04411620206269,1963.3332170289,809796.5,1166.50867755737,1008492.0,108908.0,1777.0,14.0,23.0,185785.0
10,32,unl,8,6,16,4,8,2,0.25,1.0,24,3.04855855303327,2100.55658899739,1101182.0,1514.8350872215,1440218.0,137453.0,1739.0,28.0,26.0,133297.0
11,36,unl,8,6,16,4,8,2,0.25,0.25,24,3.05563736295827,1887.4849047548,444679.5,670.132830989249,1268845.0,205555.0,1888.0,0.0,11.0,79433.0
12,39,unl,16,8,20,6,8,2,0.25,1.0,24,3.03348651554605,1894.8311582901,961705.0,1371.55009419548,1541024.0,205727.0,1815.0,1.0,20.0,105559.0
13,42,unl,10,8,16,4,8,4,0.25,1.0,24,3.05728454535775,1799.96375386797,1260080.0,1819.57539137696,1708560.0,220485.0,1734.0,0.0,31.0,179182.0
14,43,general,8,6,12,4,8,2,0.25,1.0,24,3.02729610326264,1464.15300500634,510204.5,763.566052781555,1136304.0,162321.0,297.0,33.0,18.0,145200.0
15,47,general,8,6,12,4,8,2,0.25,3.0,24,3.03857223946037,1358.04246622901,962810.0,1300.48488469593,1846117.0,142697.0,432.0,22.0,40.0,230620.0
16,49,general,16,8,20,16,8,4,0.5,1.0,24,3.02293355913157,1598.5760649873,1251066.5,1585.22403032779,3116919.0,200319.0,464.0,23.0,20.0,90616.0
17,54,general,16,8,20,16,8,4,0.5,0.5,24,3.02044716769075,1595.13010349818,148231.5,251.275956789994,384026.0,80689.0,332.0,128.0,8.0,40464.0
18,56,general,6,4,8,2,2,2,0.25,1.0,24,3.01898090358771,2616.89963854797,183178.5,290.453164068876,348588.0,67463.0,309.0,105.0,10.0,55042.0
19,61,general,6,4,8,2,2,4,0.25,0.5,24,3.02805072085344,1691.67132342919,161813.0,219.555508482613,393803.0,45441.0,538.0,0.0,0.0,6.0
20,63,general,20,16,24,8,16,8,0.5,1.0,24,3.0251901139819,1502.9386758036,460779.5,629.174079423608,1088732.0,87841.0,475.0,5.0,11.0,78216.0
21,67,general,16,8,20,4,8,2,0.5,1.0,24,3.02290208467313,1976.88143675648,869609.0,1142.0250999501,1726008.0,122104.0,462.0,45.0,18.0,167692.0
22,69,general,16,8,20,8,8,4,0.25,1.0,24,3.02276428273899,1929.91650320116,635603.5,848.420513022575,1334657.0,107731.0,462.0,66.0,18.0,156986.0
23,72,general,16,8,20,4,8,2,0.25,1.0,24,3.01993101860958,1830.49663879496,496748.5,758.272465959284,1081522.0,111533.0,338.0,30.0,38.0,333204.0
24,75,general,8,6,16,4,8,2,0.25,1.0,24,3.02950151951507,1533.97336674218,704585.5,1034.05590485438,1251302.0,128834.0,331.0,29.0,56.0,291225.0
25,80,general,8,6,16,4,8,2,0.25,0.25,24,3.02778635080063,2917.73900323689,33572.0,54.560679586136,90768.0,21229.0,327.0,0.0,5.0,20.0
26,83,general,16,8,20,6,8,2,0.25,1.0,24,3.05327180038146,1530.80008867337,155798.5,224.660774869966,361397.0,45352.0,398.0,37.0,3.0,39901.0
27,85,general,10,8,16,4,8,4,0.25,1.0,24,3.02354831010789,1093.37097646678,199819.5,284.20717158746,457832.0,55672.0,399.0,46.0,6.0,32462.0
